exp_id,seed,k_eval,gen,id,t_spin,h_anchor,h_guard,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14
HITL,2,40,1,0,0.0212038,5,5,0.168614,0.402778,0.236013,0.215399,0.153889,0.232449,0.215298,0.213055,0.19955,0.180697,0.242891,0.194948,0.190024,0.24317,0.229371,0.170187,0.227037,0.177666
HITL,2,40,1,1,0.00295823,5,5,0.0162851,0.402778,0.236013,0.2678,0.278096,0.224136,0.276984,0.161947,0.225787,0.159793,0.214218,0.16448,0.169074,0.239512,0.183902,0.166042,0.183046,0.202474
HITL,2,40,1,2,0.00355958,5,5,0.0213057,0.402778,0.236013,0.220168,0.180261,0.246061,0.22246,0.225786,0.208034,0.269046,0.237001,0.174345,0.255113,0.294683,0.225001,0.283428,0.201242,0.235072
HITL,2,40,1,3,0.00466492,5,5,0.030534,0.402778,0.236013,0.214132,0.215512,0.266484,0.230341,0.293061,0.231631,0.162314,0.204951,0.277628,0.210941,0.15408,0.187077,0.160072,0.299078,0.295587
HITL,2,40,1,4,0.00388266,5,5,0.024003,0.402778,0.236013,0.270039,0.240273,0.264744,0.175384,0.193953,0.22861,0.203494,0.156852,0.297473,0.216203,0.2256,0.198531,0.188962,0.208033,0.274803
HITL,2,40,1,5,0.0041651,5,5,0.0263611,0.402778,0.236013,0.260512,0.206882,0.151953,0.269611,0.190408,0.237403,0.153833,0.24933,0.208129,0.224561,0.212236,0.202631,0.232647,0.295937,0.166916
HITL,2,40,1,6,0.00671947,5,5,0.0476871,0.402778,0.236013,0.196989,0.15627,0.26076,0.248627,0.182195,0.212513,0.246576,0.249222,0.175572,0.282248,0.266701,0.170093,0.280337,0.262317,0.269788
HITL,2,40,1,7,0.0164977,5,5,0.129324,0.402778,0.236013,0.231502,0.183126,0.287769,0.238813,0.201936,0.189567,0.287087,0.21296,0.231029,0.241266,0.273937,0.243534,0.176507,0.238689,0.22339
HITL,2,40,1,8,0.0111234,5,5,0.0844548,0.402778,0.236013,0.232186,0.254928,0.186872,0.177994,0.166587,0.191109,0.151538,0.244404,0.194276,0.178093,0.164293,0.192563,0.182239,0.192841,0.220711
HITL,2,40,1,9,0.00346531,5,5,0.0205186,0.402778,0.236013,0.232425,0.276767,0.298276,0.15733,0.184818,0.246497,0.17422,0.280522,0.18261,0.261263,0.247953,0.269833,0.154687,0.184436,0.255694
HITL,2,40,1,10,0.00310891,5,5,0.0175431,0.402778,0.236013,0.163134,0.154588,0.20357,0.238467,0.157833,0.15985,0.156525,0.209273,0.250264,0.179704,0.28144,0.214858,0.242946,0.193564,0.242288
HITL,2,40,1,11,0.0299666,5,5,0.241773,0.402778,0.236013,0.293049,0.217202,0.181057,0.213805,0.216686,0.226143,0.22886,0.156364,0.174663,0.217534,0.256196,0.266638,0.266565,0.225417,0.293512
HITL,2,40,1,12,0.017091,5,5,0.134277,0.402778,0.236013,0.199781,0.222219,0.262256,0.278676,0.212169,0.277303,0.216686,0.257362,0.151267,0.15378,0.291068,0.165321,0.249295,0.192489,0.180126
HITL,2,40,1,13,0.0125945,5,5,0.0967369,0.402778,0.236013,0.20825,0.288885,0.235541,0.287507,0.25534,0.225182,0.225913,0.182823,0.1507,0.212675,0.234506,0.281484,0.251638,0.27635,0.288924
HITL,2,40,1,14,0.0100954,5,5,0.0758723,0.402778,0.236013,0.291167,0.272403,0.169709,0.201995,0.181275,0.280107,0.26885,0.20235,0.235371,0.27077,0.274974,0.180869,0.259602,0.270512,0.156469
HITL,2,40,1,15,0.0045452,5,5,0.0295345,0.402778,0.236013,0.166078,0.215263,0.183132,0.282093,0.257953,0.256951,0.265479,0.199612,0.184292,0.243952,0.212172,0.290517,0.246368,0.208035,0.278268
HITL,2,40,1,16,0.00972339,5,5,0.0727663,0.402778,0.236013,0.207119,0.176746,0.267249,0.220831,0.188922,0.25386,0.297073,0.186938,0.268537,0.26435,0.168006,0.275835,0.219261,0.168867,0.230452
HITL,2,40,1,17,0.065056,5,5,0.534729,0.402778,0.236013,0.194477,0.176359,0.161886,0.179835,0.214438,0.246272,0.163107,0.25736,0.165262,0.17634,0.256998,0.28279,0.297471,0.247936,0.22166
HITL,2,40,1,18,0.031449,5,5,0.25415,0.402778,0.236013,0.163168,0.233843,0.177173,0.22716,0.24134,0.274982,0.198563,0.298329,0.299243,0.273923,0.254123,0.26005,0.28129,0.292727,0.277839
HITL,2,40,1,19,0.00407919,5,5,0.0256438,0.402778,0.236013,0.246141,0.161025,0.243508,0.202982,0.174717,0.283975,0.273734,0.228996,0.219517,0.223395,0.189108,0.210396,0.2155,0.152258,0.283936
HITL,2,40,1,20,0.0145802,5,5,0.113315,0.402778,0.236013,0.154372,0.205934,0.164381,0.179545,0.291363,0.205691,0.25935,0.168924,0.187692,0.282185,0.285494,0.193145,0.295067,0.250215,0.225451
HITL,2,40,1,21,0.0401457,5,5,0.326758,0.402778,0.236013,0.2067,0.200605,0.292802,0.254,0.230115,0.156523,0.187133,0.291476,0.233529,0.203628,0.151418,0.188032,0.188134,0.175603,0.201747
HITL,2,40,1,22,0.00216637,5,5,0.00967402,0.402778,0.236013,0.180397,0.159435,0.164694,0.224509,0.160449,0.290273,0.180915,0.219632,0.2122,0.193701,0.198529,0.18174,0.19204,0.167566,0.253388
HITL,2,40,1,23,0.00746816,5,5,0.0539378,0.402778,0.236013,0.246679,0.196729,0.282045,0.207956,0.241663,0.228475,0.198759,0.289469,0.27723,0.276168,0.293143,0.150372,0.223818,0.290687,0.170164
HITL,2,40,1,24,0.0162096,5,5,0.126919,0.402778,0.236013,0.186749,0.225759,0.251763,0.199914,0.195955,0.26637,0.154928,0.26787,0.214281,0.244351,0.255825,0.16477,0.285577,0.273347,0.206307
HITL,2,40,1,25,0.0154632,5,5,0.120687,0.402778,0.236013,0.179219,0.159421,0.196291,0.256979,0.271977,0.198988,0.183043,0.199109,0.294655,0.164414,0.174328,0.254136,0.170965,0.189994,0.270476
HITL,2,40,1,26,0.0449098,5,5,0.366532,0.402778,0.236013,0.195092,0.239552,0.235922,0.189817,0.18731,0.193451,0.281391,0.152814,0.163745,0.201181,0.183045,0.234429,0.230919,0.224304,0.195113
HITL,2,40,1,27,0.00323466,5,5,0.0185929,0.402778,0.236013,0.226717,0.267934,0.271876,0.229926,0.27095,0.155141,0.17311,0.262228,0.20773,0.197685,0.235801,0.205863,0.286429,0.208046,0.275437
HITL,2,40,1,28,0.0024328,5,5,0.0118984,0.402778,0.236013,0.240265,0.286803,0.222608,0.293777,0.236506,0.154162,0.260831,0.27921,0.164783,0.294516,0.234514,0.261105,0.1836,0.291177,0.246499
HITL,2,40,1,29,0.0121885,5,5,0.0933474,0.402778,0.236013,0.231498,0.294209,0.233545,0.22975,0.156715,0.231958,0.261654,0.20526,0.251899,0.234616,0.181196,0.232022,0.221398,0.200658,0.249395
HITL,2,40,1,30,0.0591849,5,5,0.485712,0.402778,0.236013,0.159173,0.205916,0.215116,0.29608,0.25473,0.243868,0.173392,0.215264,0.205685,0.29106,0.217923,0.278265,0.248042,0.281893,0.1505
HITL,2,40,1,31,0.00597653,5,5,0.0414844,0.402778,0.236013,0.288718,0.292694,0.17324,0.159857,0.197593,0.237833,0.22862,0.215268,0.286902,0.235496,0.290121,0.236423,0.177777,0.297312,0.299775
HITL,2,40,1,32,0.0145633,5,5,0.113174,0.402778,0.236013,0.21697,0.264365,0.245485,0.177787,0.23688,0.248136,0.239061,0.231221,0.238782,0.256349,0.265647,0.163358,0.287024,0.217444,0.254493
HITL,2,40,1,33,0.00713146,5,5,0.0511267,0.402778,0.236013,0.208146,0.157659,0.249546,0.204849,0.232917,0.189988,0.180581,0.194431,0.27628,0.288602,0.296788,0.21215,0.265978,0.175208,0.261638
HITL,2,40,1,34,0.00670044,5,5,0.0475282,0.402778,0.236013,0.213631,0.276614,0.179553,0.272837,0.160849,0.276916,0.213547,0.171111,0.195888,0.256404,0.216943,0.18499,0.185815,0.253976,0.247165
HITL,2,40,1,35,0.0029257,5,5,0.0160135,0.402778,0.236013,0.159589,0.271878,0.171028,0.186085,0.152086,0.225938,0.27764,0.289461,0.219496,0.165412,0.221146,0.193569,0.19641,0.186444,0.293054
HITL,2,40,1,36,0.0159369,5,5,0.124642,0.402778,0.236013,0.209612,0.150536,0.224289,0.25503,0.272291,0.263008,0.255324,0.179714,0.202516,0.218921,0.170544,0.214107,0.165223,0.163088,0.275428
HITL,2,40,1,37,0.0160567,5,5,0.125642,0.402778,0.236013,0.175342,0.22093,0.243737,0.290845,0.195948,0.177168,0.281313,0.195538,0.191648,0.172519,0.216702,0.184721,0.203829,0.200047,0.243733
HITL,2,40,1,38,0.00581257,5,5,0.0401156,0.402778,0.236013,0.216855,0.251692,0.195129,0.198357,0.299742,0.185741,0.264429,0.254938,0.247176,0.168234,0.150836,0.261833,0.162454,0.186408,0.298384
HITL,2,40,1,39,0.00416118,5,5,0.0263283,0.402778,0.236013,0.294917,0.288199,0.23749,0.218435,0.219351,0.200961,0.295103,0.272397,0.298789,0.195132,0.236978,0.25231,0.207544,0.237627,0.179478
HITL,2,40,1,40,0.0149119,5,5,0.116084,0.402778,0.236013,0.19708,0.170242,0.246417,0.200121,0.213725,0.207085,0.157912,0.284378,0.259121,0.198605,0.284805,0.251343,0.298751,0.219482,0.166441
HITL,2,40,1,41,0.00491439,5,5,0.0326168,0.402778,0.236013,0.16824,0.261971,0.236812,0.182521,0.232139,0.229471,0.278666,0.157961,0.166958,0.21639,0.170913,0.298311,0.179738,0.242945,0.216549
