gen,t_spin_mean,t_spin_max,diversity,h_anchor_mean,h_anchor_max,h_guard_mean,h_guard_max
1,0.0165724,0.120785,0.236013,5,5,5,5
2,0.052369,0.218662,0.205861,4.54812,4.75,3.2584,4.75
3,0.071624,0.403111,0.180258,4.27571,4.5125,3.25053,4.5125
4,0.108753,0.635159,0.158227,4.00245,4.28688,3.16053,4.28688
5,0.209035,0.635159,0.143263,3.73148,3.8689,3.01219,3.81849
6,0.337154,1.06668,0.108042,3.39654,3.67546,2.87709,3.5449
7,0.36836,1.22169,0.106153,3.20242,3.49169,2.78449,3.22671
8,0.501737,1.24176,0.113798,2.96073,3.15125,2.4613,3.0423
9,0.569717,1.45132,0.0941775,2.75484,2.99368,2.08613,2.81269
10,0.829051,1.88798,0.0734471,2.59013,2.844,1.90039,2.6171
11,1.04633,2.13041,0.0811162,2.3541,2.56671,1.6971,2.46062
12,1.34032,2.39556,0.0794128,2.18562,2.31646,1.53477,2.2364
13,1.47969,2.55556,0.08373,2.02134,2.0906,1.39483,2.07634
14,1.64139,2.87673,0.0786894,1.86197,1.98607,1.28364,1.92027
15,1.93349,2.87673,0.0780919,1.72913,1.79243,1.15927,1.76887
16,1.79933,2.88733,0.0845737,1.61872,1.70281,1.04589,1.64267
17,2.09516,3.03272,0.0762216,1.52083,1.61767,0.968598,1.53778
18,2.1542,3.03408,0.0709179,1.42128,1.53678,0.894666,1.44479
19,2.1898,3.10543,0.0695773,1.3398,1.45995,0.835296,1.35021
20,2.28049,3.22144,0.0735851,1.26141,1.38695,0.782757,1.27281
21,2.25588,3.25485,0.0748093,1.1884,1.3176,0.727137,1.19834
22,2.34217,3.25485,0.0774881,1.12461,1.18913,0.659896,1.12898
23,2.48035,3.25485,0.0771962,1.03639,1.12968,0.624184,1.06838
24,2.52676,3.36985,0.073326,1.01953,1.01953,0.944186,1.01953
25,2.58305,3.36985,0.0723428,5,5,5,5
26,2.68729,3.40466,0.0707587,4.54812,4.75,4.49924,4.75
27,2.56022,3.49501,0.067167,4.25439,4.5125,4.20851,4.5125
28,2.61113,3.60091,0.0678744,4.02518,4.28688,3.98212,4.28688
29,2.67318,3.58636,0.0666878,3.84751,4.07253,3.81266,4.07253
30,2.64877,3.52809,0.0672686,3.64818,3.8689,3.60779,3.8689
31,2.55654,3.49019,0.0738813,3.46686,3.67546,3.43027,3.67546
32,2.81627,3.61913,0.0662045,3.29694,3.49169,3.27161,3.49169
33,2.78967,3.56286,0.06904,3.11351,3.3171,3.08347,3.3171
34,2.85882,3.61889,0.0660326,2.97253,3.15125,2.94434,3.15125
35,2.76599,3.71834,0.0671677,2.82388,2.99368,2.7907,2.99368
36,2.72464,3.71174,0.0705174,2.68809,2.844,2.6657,2.844
37,2.83536,3.76176,0.0665257,2.54386,2.7018,2.51619,2.7018
38,2.84828,3.76176,0.0662072,2.39738,2.56671,2.37341,2.56671
39,2.68442,3.80263,0.0640415,2.25599,2.43837,2.22965,2.43837
40,2.90074,3.76176,0.0663268,2.14885,2.31646,2.12817,2.31646
41,2.88311,3.83765,0.0669188,2.04508,2.20063,2.02646,2.20063
42,2.79434,3.81954,0.0681802,1.9472,2.0906,1.92841,2.0906
43,2.98995,3.76176,0.0667505,1.85105,1.98607,1.83499,1.98607
44,3.02034,3.84062,0.0643733,1.72361,1.79243,1.70819,1.78716
45,3.19548,3.90082,0.0613703,1.61662,1.70281,1.59914,1.6978
46,3.16256,3.95381,0.0630585,1.52148,1.61767,1.50208,1.60871
47,3.1969,3.90516,0.0653937,1.43748,1.53678,1.41722,1.52827
48,3.1601,3.92551,0.0614166,1.36762,1.45995,1.34714,1.45186
49,3.14061,3.91078,0.064165,1.30467,1.38695,1.28426,1.37926
50,3.09924,3.92136,0.0608797,1.2243,1.3176,1.20476,1.3103
51,3.13882,3.96166,0.0615991,1.16344,1.25172,1.14444,1.24479
52,3.17405,3.91078,0.0597269,1.10363,1.18913,1.08329,1.18255
53,3.24765,3.96793,0.0604051,1.04988,1.12968,1.03237,1.12342
54,3.30585,4.03587,0.065679,1.02319,1.07319,1.01548,1.06725
55,3.25553,4.10247,0.0573838,5,5,5,5
56,3.04373,4.10247,0.0584418,4.54812,4.75,4.53658,4.75
57,3.31876,4.16757,0.0625848,4.26082,4.5125,4.24855,4.5125
58,3.2376,4.15486,0.0647316,4.0543,4.28688,4.04154,4.28688
59,3.17312,4.17578,0.0633232,3.84253,4.07253,3.8311,4.07253
60,3.06693,4.16825,0.0633047,3.63117,3.8689,3.61984,3.8689
61,3.42161,4.18263,0.0579841,3.45302,3.67546,3.44199,3.67546
62,3.16659,4.17241,0.0611672,3.27572,3.49169,3.26538,3.49169
