exp_id,seed,k_eval,gen,id,t_spin,h_score,t_norm,h_norm,diversity,r_0,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12,r_13,r_14,r_15,r_16,r_17,r_18,r_19
noHITL,1,0,1,0,0.00491732,,0,0,0.547243,0.225107,0.316097,0.100034,0.1907,0.144027,0.127702,0.155878,0.203668,0.21903,0.261645,0.225758,0.305566,0.161336,0.363435,0.108216,0.30114,0.225191,0.267607,0.142116,0.15943
noHITL,1,0,1,1,0.0120631,,0.94169,0,0.547243,0.340223,0.390478,0.194027,0.307697,0.362917,0.368382,0.125513,0.111716,0.150949,0.363443,0.129504,0.226332,0.387367,0.25995,0.307563,0.194655,0.30595,0.350388,0.105486,0.325043
noHITL,1,0,1,2,0.00711813,,0.29003,0,0.547243,0.396658,0.32445,0.184133,0.336784,0.130968,0.234368,0.372579,0.188084,0.186333,0.139009,0.10581,0.303651,0.163488,0.179664,0.247472,0.116009,0.272235,0.144019,0.276792,0.309928
noHITL,1,0,1,3,0.00961732,,0.619381,0,0.547243,0.1307,0.224217,0.30832,0.224254,0.114986,0.260769,0.299138,0.254467,0.383378,0.275967,0.371021,0.141242,0.141783,0.342217,0.219303,0.149606,0.378253,0.20433,0.325244,0.317799
noHITL,1,0,1,4,0.0109168,,0.79063,0,0.547243,0.364992,0.287102,0.325283,0.20467,0.180978,0.368766,0.228427,0.389452,0.299032,0.286509,0.134424,0.384847,0.234974,0.273517,0.222441,0.171108,0.371014,0.272104,0.100861,0.285143
noHITL,1,0,1,5,0.0125055,,1,0,0.547243,0.197993,0.258117,0.365783,0.207181,0.372561,0.287008,0.104746,0.378831,0.307269,0.399197,0.151702,0.141141,0.379779,0.309045,0.1198,0.326639,0.326163,0.376907,0.313457,0.137281
noHITL,1,0,1,6,0.00922671,,0.567906,0,0.547243,0.105964,0.107863,0.108492,0.173863,0.358008,0.261649,0.265847,0.352609,0.137252,0.183755,0.275728,0.390879,0.268309,0.105594,0.34019,0.169892,0.342132,0.216358,0.359063,0.324136
noHITL,1,0,1,7,0.00808169,,0.417012,0,0.547243,0.266872,0.140937,0.117975,0.136403,0.113366,0.132248,0.167713,0.313897,0.267915,0.103767,0.121592,0.390183,0.27043,0.160988,0.175698,0.323148,0.158629,0.274408,0.391006,0.354049
noHITL,1,0,1,8,0.00768271,,0.364433,0,0.547243,0.171954,0.248131,0.285987,0.348694,0.147037,0.105573,0.121007,0.245904,0.281899,0.270655,0.195209,0.396585,0.273924,0.214042,0.265284,0.3236,0.30077,0.179476,0.1199,0.211025
noHITL,1,0,1,9,0.0114632,,0.862639,0,0.547243,0.288915,0.163052,0.325827,0.119961,0.178095,0.341426,0.15803,0.291838,0.257401,0.377442,0.178989,0.119788,0.32052,0.331653,0.372345,0.379592,0.104185,0.170309,0.285034,0.384705
