exp_id,seed,k_eval,gen,t_spin,h_score,diversity
noHITL,1,0,1,0.00941359,,0.547243
noHITL,1,0,2,0.0110323,,0.479528
noHITL,1,0,3,0.0134838,,0.423782
noHITL,1,0,4,0.0154984,,0.393105
noHITL,1,0,5,0.0172261,,0.318152
noHITL,1,0,6,0.0181215,,0.300876
noHITL,1,0,7,0.0185999,,0.30531
noHITL,1,0,8,0.0197435,,0.297297
noHITL,1,0,9,0.0198566,,0.299764
noHITL,1,0,10,0.0207979,,0.276708
noHITL,1,0,11,0.0211699,,0.264798
noHITL,1,0,12,0.0211618,,0.272282
noHITL,1,0,13,0.021605,,0.277637
noHITL,1,0,14,0.0216543,,0.278534
noHITL,1,0,15,0.0215024,,0.285453
noHITL,1,0,16,0.0216375,,0.282079
noHITL,1,0,17,0.0212432,,0.303599
noHITL,1,0,18,0.0213412,,0.281226
noHITL,1,0,19,0.022201,,0.266792
noHITL,1,0,20,0.0221152,,0.265897
noHITL,1,0,21,0.0220714,,0.272203
noHITL,1,0,22,0.021967,,0.274489
noHITL,1,0,23,0.0218565,,0.264509
noHITL,1,0,24,0.0220778,,0.273545
noHITL,1,0,25,0.022523,,0.277895
noHITL,1,0,26,0.0220233,,0.285045
noHITL,1,0,27,0.0226212,,0.264484
noHITL,1,0,28,0.0223001,,0.267068
noHITL,1,0,29,0.0223634,,0.270646
noHITL,1,0,30,0.022334,,0.253105
noHITL,1,0,31,0.0219803,,0.262712
noHITL,1,0,32,0.0220336,,0.258065
noHITL,1,0,33,0.0223216,,0.262169
noHITL,1,0,34,0.0222642,,0.256989
noHITL,1,0,35,0.0224285,,0.253619
noHITL,1,0,36,0.0218742,,0.285995
noHITL,1,0,37,0.0224738,,0.260185
noHITL,1,0,38,0.0224848,,0.253125
noHITL,1,0,39,0.0225652,,0.265407
noHITL,1,0,40,0.0228179,,0.25557
noHITL,1,0,41,0.022895,,0.263189
noHITL,1,0,42,0.0224836,,0.261661
noHITL,1,0,43,0.0222869,,0.269634
noHITL,1,0,44,0.0224427,,0.264241
noHITL,1,0,45,0.0221548,,0.272592
noHITL,1,0,46,0.0222882,,0.273003
noHITL,1,0,47,0.0224718,,0.255338
noHITL,1,0,48,0.0230695,,0.260632
noHITL,1,0,49,0.0227179,,0.256897
noHITL,1,0,50,0.022414,,0.270484
noHITL,1,0,51,0.0222603,,0.286922
noHITL,1,0,52,0.022097,,0.286249
noHITL,1,0,53,0.022371,,0.275475
noHITL,1,0,54,0.0218602,,0.259924
noHITL,1,0,55,0.0229442,,0.256364
noHITL,1,0,56,0.0230766,,0.246638
noHITL,1,0,57,0.0230381,,0.260487
noHITL,1,0,58,0.0226653,,0.25985
noHITL,1,0,59,0.0220962,,0.255982
noHITL,1,0,60,0.0217407,,0.270475
noHITL,1,0,61,0.0220079,,0.279992
noHITL,1,0,62,0.0223655,,0.264242
noHITL,1,0,63,0.0225196,,0.275225
noHITL,1,0,64,0.0227445,,0.243945
noHITL,1,0,65,0.0228968,,0.266778
noHITL,1,0,66,0.0228412,,0.279558
noHITL,1,0,67,0.0227823,,0.272763
noHITL,1,0,68,0.0223357,,0.277898
noHITL,1,0,69,0.0223801,,0.277964
noHITL,1,0,70,0.0219851,,0.265386
noHITL,1,0,71,0.0225009,,0.257355
noHITL,1,0,72,0.0221394,,0.253155
noHITL,1,0,73,0.0223435,,0.269316
noHITL,1,0,74,0.0230805,,0.269307
noHITL,1,0,75,0.0230541,,0.252054
noHITL,1,0,76,0.0224652,,0.245811
noHITL,1,0,77,0.022526,,0.26348
noHITL,1,0,78,0.0220807,,0.28133
noHITL,1,0,79,0.0223829,,0.262049
noHITL,1,0,80,0.0226002,,0.26771
noHITL,1,0,81,0.0232465,,0.271911
noHITL,1,0,82,0.0227477,,0.272857
noHITL,1,0,83,0.0227221,,0.282876
noHITL,1,0,84,0.0226111,,0.281934
noHITL,1,0,85,0.0227376,,0.271475
noHITL,1,0,86,0.0228159,,0.280701
noHITL,1,0,87,0.0227111,,0.273406
noHITL,1,0,88,0.0224649,,0.266548
noHITL,1,0,89,0.0220253,,0.27146
noHITL,1,0,90,0.0227369,,0.25804
noHITL,1,0,91,0.0228862,,0.253333
noHITL,1,0,92,0.022046,,0.271654
noHITL,1,0,93,0.0222659,,0.279101
noHITL,1,0,94,0.0217793,,0.284511
noHITL,1,0,95,0.0219175,,0.288794
noHITL,1,0,96,0.0223792,,0.272657
noHITL,1,0,97,0.0222473,,0.263438
noHITL,1,0,98,0.0223198,,0.274329
noHITL,1,0,99,0.021999,,0.269846
noHITL,1,0,100,0.0231474,,0.256571
